C :3 , Sigma: 0.7 , resultLoss: 0.125 , Support Vectors: 62
C :3 , Sigma: 0.8 , resultLoss: 0.125 , Support Vectors: 64
C :3 , Sigma: 0.9 , resultLoss: 0.125 , Support Vectors: 66
C :3 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 67
C :4 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 48
C :4 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 44
C :4 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 48
C :4 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 49
C :4 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 52
C :4 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 56
C :4 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 60
C :4 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 62
C :4 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 64
C :4 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 67
C :5 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 44
C :5 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 42
C :5 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 47
C :5 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 48
C :5 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 51
C :5 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 55
C :5 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 58
C :5 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 59
C :5 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 62
C :5 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 63
C :6 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 44
C :6 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 42
C :6 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 45
C :6 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 48
C :6 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 49
C :6 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 53
C :6 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 55
C :6 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 59
C :6 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 60
C :6 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 62
C :7 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 44
C :7 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 42
C :7 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 43
C :7 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 46
C :7 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 48
C :7 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 53
C :7 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 54
C :7 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 57
C :7 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 59
C :7 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 60
C :8 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 43
C :8 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 42
C :8 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 43
C :8 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 46
C :8 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 47
C :8 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 52
C :8 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 53
C :8 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 54
C :8 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 58
C :8 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 59
C :9 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 39
C :9 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 41
C :9 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 43
C :9 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 44
C :9 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 47
C :9 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 51
C :9 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 52
C :9 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 54
C :9 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 57
C :9 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 59
C :10 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 39
C :10 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 40
C :10 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 43
C :10 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 44
C :10 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 47
C :10 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 48
C :10 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 52
C :10 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 54
C :10 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 55
C :10 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 58
C :11 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 39
C :11 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 40
C :11 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 42
C :11 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 45
C :11 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 45
C :11 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 48
C :11 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 51
C :11 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 52
C :11 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 54
C :11 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 57
C :12 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 39
C :12 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 40
C :12 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 43
C :12 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 44
C :12 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 45
C :12 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 48
C :12 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 51
C :12 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 52
C :12 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 54
C :12 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 57
C :13 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 39
C :13 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 40
C :13 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 42
C :13 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 44
C :13 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 45
C :13 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 47
C :13 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 50
C :13 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 52
C :13 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 54
C :13 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 54
C :14 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 40
C :14 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 41
C :14 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 41
C :14 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 44
C :14 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 45
C :14 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 47
C :14 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 49
C :14 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 51
C :14 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 52
C :14 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 54
C :15 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 39
C :15 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 41
C :15 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 41
C :15 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 44
C :15 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 45
C :15 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 46
C :15 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 49
C :15 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 51
C :15 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 52
C :15 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 54
C :16 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 40
C :16 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 42
C :16 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 40
C :16 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 44
C :16 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 45
C :16 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 47
C :16 , Sigma: 0.7 , resultLoss: 0.11667 , Support Vectors: 49
C :16 , Sigma: 0.8 , resultLoss: 0.11667 , Support Vectors: 51
C :16 , Sigma: 0.9 , resultLoss: 0.11667 , Support Vectors: 52
C :16 , Sigma: 1 , resultLoss: 0.11667 , Support Vectors: 54
C :17 , Sigma: 0.1 , resultLoss: 0.11667 , Support Vectors: 40
C :17 , Sigma: 0.2 , resultLoss: 0.11667 , Support Vectors: 41
C :17 , Sigma: 0.3 , resultLoss: 0.11667 , Support Vectors: 40
C :17 , Sigma: 0.4 , resultLoss: 0.11667 , Support Vectors: 43
C :17 , Sigma: 0.5 , resultLoss: 0.11667 , Support Vectors: 43
C :17 , Sigma: 0.6 , resultLoss: 0.11667 , Support Vectors: 46
